AP,Nº,BeacoN,RSSI,,,,,,,
0C:8D:DB:D9:17:32,1,00:FA:B6:01:E8:49,-71.00,,,,,,,
0C:8D:DB:D9:17:32,1,00:FA:B6:01:E8:5B,-74.00,,,,,,,
0C:8D:DB:D9:17:32,1,00:FA:B6:01:E8:6D,-74.00,,,,,,,
0C:8D:DB:D9:17:32,2,00:FA:B6:01:E8:5B,-73.00,,,,,,,
0C:8D:DB:D9:17:32,2,00:FA:B6:01:E8:49,-71.00,,,,,,,
0C:8D:DB:D9:17:32,3,00:FA:B6:01:E8:5B,-73.00,,,,,,,
0C:8D:DB:D9:17:32,3,00:FA:B6:01:E8:49,-75.00,,,,,,,
0C:8D:DB:D9:17:32,2,00:FA:B6:01:E8:6D,-70.00,,,,,,,
0C:8D:DB:D9:17:32,4,00:FA:B6:01:E8:5B,-73.00,,,,,,,
0C:8D:DB:D9:17:32,4,00:FA:B6:01:E8:49,-73.00,,,,,,,
0C:8D:DB:D9:17:32,3,00:FA:B6:01:E8:6D,-75.00,,,,,,,
0C:8D:DB:D9:17:32,5,00:FA:B6:01:E8:5B,-74.00,,,,,,,
0C:8D:DB:D9:17:32,5,00:FA:B6:01:E8:49,-72.00,,,,,,,
0C:8D:DB:D9:17:32,4,00:FA:B6:01:E8:6D,-73.00,,,,,,,
0C:8D:DB:D9:17:32,6,00:FA:B6:01:E8:5B,-73.00,,,,,,,
0C:8D:DB:D9:17:32,6,00:FA:B6:01:E8:49,-74.00,,,,,,,
0C:8D:DB:D9:17:32,7,00:FA:B6:01:E8:5B,-73.00,,,,,,,
0C:8D:DB:D9:17:32,5,00:FA:B6:01:E8:6D,-75.00,,,,,,,
0C:8D:DB:D9:17:32,8,00:FA:B6:01:E8:5B,-73.00,,,,,,,
0C:8D:DB:D9:17:32,7,00:FA:B6:01:E8:49,-75.00,,,,,,,
0C:8D:DB:D9:17:32,6,00:FA:B6:01:E8:6D,-72.00,,,,,,,
0C:8D:DB:D9:17:32,8,00:FA:B6:01:E8:49,-71.00,,,,,,,
0C:8D:DB:D9:17:32,7,00:FA:B6:01:E8:6D,-62.00,,,,,,,
0C:8D:DB:D9:17:32,9,00:FA:B6:01:E8:49,-70.00,,,,,,,
0C:8D:DB:D9:17:32,9,00:FA:B6:01:E8:5B,-73.00,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Nº,Beacon,RSSI,,,,,,,,
1,00:FA:B6:01:E8:49,-71.00,,,,,,,,
2,00:FA:B6:01:E8:49,-71.00,,,,,,,,
3,00:FA:B6:01:E8:49,-75.00,,,,,,,,
4,00:FA:B6:01:E8:49,-73.00,,,,,,,,
5,00:FA:B6:01:E8:49,-72.00,,,,,,,,
6,00:FA:B6:01:E8:49,-74.00,,,,,,,,
7,00:FA:B6:01:E8:49,-75.00,,,,,,,,
8,00:FA:B6:01:E8:49,-71.00,,,,,,,,
9,00:FA:B6:01:E8:49,-70.00,,,,,,,,
9,00:FA:B6:01:E8:49,-70.00,,,,,,,,
,,,,,,,,,,
,,,,     ,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,Nº,Beacon,RSSI,,,,
,,,,1,00:FA:B6:01:E8:5B,-74.00,,,,
,,,,2,00:FA:B6:01:E8:5B,-73.00,,,,
,,,,3,00:FA:B6:01:E8:5B,-73.00,,,,
,,,,4,00:FA:B6:01:E8:5B,-73.00,,,,
,,,,5,00:FA:B6:01:E8:5B,-74.00,,,,
,,,,6,00:FA:B6:01:E8:5B,-73.00,,,,
,,,,7,00:FA:B6:01:E8:5B,-73.00,,,,
,,,,8,00:FA:B6:01:E8:5B,-73.00,,,,
,,,,9,00:FA:B6:01:E8:5B,-73.00,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Nº,Beacon,RSSI
,,,,,,,,1,00:FA:B6:01:E8:6D,-74.00
,,,,,,,,2,00:FA:B6:01:E8:6D,-70.00
,,,,,,,,3,00:FA:B6:01:E8:6D,-75.00
,,,,,,,,4,00:FA:B6:01:E8:6D,-73.00
,,,,,,,,5,00:FA:B6:01:E8:6D,-75.00
,,,,,,,,6,00:FA:B6:01:E8:6D,-72.00
,,,,,,,,7,00:FA:B6:01:E8:6D,-62.00
